Skill,Date of Birth,Peak Activity Date,Avg Views,Avg Score,Avg Answers,Total Posts,Immunity Score
positioning,2008-09-08 19:03:27.093,2009-07,50224.62,28.17,4.45,29,Low
nsarray,2008-09-21 05:36:29.413,2009-07,45934.24,52.24,3.88,17,Low
multiple-columns,2008-09-16 14:42:29.043,2008-09,269513.5,331.0,12.5,2,Low
non-printable,2008-09-18 13:17:06.797,2008-09,183325.0,111.0,16.0,1,Low
system-calls,2008-09-16 06:40:20.120,2008-11,13076.62,12.14,3.48,21,Low
oggvorbis,2008-08-30 11:33:55.787,2008-08,7216.5,12.0,8.5,2,Low
spaces,2008-09-20 12:06:29.903,2008-09,62898.86,46.71,6.71,7,Low
touchscreen,2008-09-22 09:04:07.657,2009-04,2685.88,2.0,2.44,16,Low
entities,2008-09-11 21:28:46.940,2008-10,21100.91,21.36,4.64,11,Low
openssl,2008-09-18 13:19:02.767,2009-01,29636.39,25.5,3.11,44,Low
pseudocode,2008-09-21 05:44:34.010,2008-12,24786.11,20.0,8.26,19,Low
tkinter,2008-09-16 00:48:37.410,2009-07,44832.75,30.58,3.21,24,Low
java-5,2008-09-22 09:06:08.183,2009-05,17015.87,11.8,3.6,15,Low
drm,2008-08-27 13:43:08.040,2009-03,4497.6,7.47,7.27,15,Low
rights-management,2008-09-22 09:08:34.573,2008-09,1282.67,11.67,9.33,3,Low
shared-hosting,2008-09-11 21:30:50.740,2008-11,3207.18,3.59,3.47,34,Low
perl-critic,2008-09-18 13:21:12.590,2008-09,4340.0,13.5,4.5,2,Low
elapsed,2008-09-18 13:21:44.757,2008-09,2287.0,2.0,5.0,1,Low
performancecounter,2008-09-11 03:25:26.403,2009-06,13376.96,10.7,2.78,23,Low
prototype,2008-09-16 19:49:52.283,2009-07,5560.83,9.22,3.76,46,Low
weather,2008-09-20 12:24:11.220,2008-11,7929.33,4.33,4.17,6,Low
jira,2008-09-18 13:23:33.693,2009-05,8251.0,8.06,3.83,18,Low
platform-specific,2008-09-21 06:01:06.153,2008-09,182618.0,174.0,3.25,4,Low
gnome,2008-08-30 11:53:01.777,2009-06,6677.71,8.29,3.47,17,Low
stingray,2008-09-16 10:32:56.443,2008-09,3951.0,2.0,3.5,2,Low
bdc,2008-09-20 12:45:39.827,2009-06,660.43,1.29,1.86,7,Low
native,2008-09-06 15:09:10.217,2009-06,6194.02,8.38,3.98,45,Low
tlbexp,2008-09-16 08:55:38.737,2008-09,1580.5,1.0,1.5,2,Low
m4a,2008-09-16 08:56:58.203,2008-09,11877.67,10.67,3.0,3,Low
django-templates,2008-09-21 06:15:13.517,2009-07,24922.75,23.43,3.7,76,Low
checkbox,2008-09-19 00:08:08.197,2009-07,71662.75,59.27,4.25,107,Low
anonymous-methods,2008-09-12 16:58:32.603,2009-07,16518.74,34.83,4.0,23,Low
hidden-features,2008-09-19 08:10:54.997,2008-10,66237.0,161.5,50.33,6,Low
flex-lexer,2008-09-19 19:51:22.620,2009-07,5464.61,6.04,3.0,23,Low
select,2008-09-12 22:58:20.880,2009-06,43066.5,22.37,3.68,161,Low
scrollbar,2008-09-16 14:44:41.050,2009-05,16858.17,10.5,3.17,46,Low
blazeds,2008-09-16 21:15:02.077,2009-06,3518.88,3.04,2.48,25,Low
mef,2008-09-20 13:12:08.310,2009-05,5684.47,15.32,2.74,34,Low
google-cloud-platform,2008-09-19 17:03:11.227,2008-09,45087.67,143.67,8.33,3,Low
xlwt,2008-09-20 13:20:50.787,2008-09,8407.0,5.0,3.0,1,Low
wildcard-mapping,2008-09-11 21:45:51.047,2008-09,1061.25,1.75,2.75,4,Low
gsm,2008-09-16 19:57:03.123,2009-03,4814.9,2.8,2.4,10,Low
thread-local,2008-09-19 19:53:19.447,2009-07,17423.5,32.62,4.25,8,Low
xls,2008-09-17 03:16:52.253,2009-04,48074.13,26.07,5.73,15,Low
sigpipe,2008-09-20 13:43:21.013,2008-09,246596.0,305.0,10.0,1,Low
mod-rails,2008-09-21 07:57:28.513,2008-09,399.0,4.0,2.0,1,Low
ora-06512,2008-09-17 11:08:05.133,2008-09,9555.0,3.5,4.0,2,Low
bundle,2008-08-25 22:13:58.953,2009-07,30825.67,25.43,3.71,21,Low
appsettings,2008-09-10 14:31:04.657,2009-05,13159.78,13.78,2.89,9,Low
external-process,2008-09-09 02:54:06.637,2009-01,30787.11,18.44,4.44,9,Low
screen,2008-09-17 03:21:33.180,2009-08,51729.7,67.67,4.67,33,Low
clob,2008-09-21 09:04:24.107,2009-01,15263.0,6.86,5.14,7,Low
pgp,2008-09-19 17:19:46.227,2009-06,13204.83,6.25,3.92,12,Low
mcafee,2008-09-19 17:19:46.227,2008-09,2568.67,2.67,1.67,3,Low
user-defined-fields,2008-09-21 09:06:16.817,2008-09,1159.0,1.0,1.0,2,Low
ibatis,2008-09-16 22:05:58.697,2008-09,13313.24,7.0,3.18,17,Low
sqlite2,2008-09-18 18:07:34.070,2008-09,2624.0,1.33,3.0,3,Low
neural-network,2008-09-19 08:23:47.040,2009-03,13634.45,18.95,6.41,22,Low
aes,2008-09-18 13:25:43.343,2009-05,48332.66,25.0,3.74,35,Low
silent-post,2008-09-19 17:27:50.357,2008-09,10075.0,4.0,6.0,1,Low
cil,2008-09-13 10:58:27.390,2008-10,6794.5,17.21,3.71,28,Low
kill,2008-09-16 19:58:05.320,2008-11,61678.94,64.81,5.56,16,Low
abstract-syntax-tree,2008-09-18 13:30:45.593,2008-10,13423.4,31.1,5.6,10,Low
switch-statement,2008-09-19 18:29:45.187,2009-06,43576.4,43.8,6.72,60,Low
slime,2008-09-21 12:34:20.890,2008-12,3985.0,11.29,3.29,7,Low
hidden-markov-models,2008-09-16 06:56:13.517,2008-09,2861.0,13.0,4.0,1,Low
ejb,2008-09-18 09:47:13.727,2008-09,3143.37,2.59,2.35,54,Low
simd,2008-09-22 14:55:20.323,2008-09,22067.5,17.5,3.33,6,Low
atlassian-fisheye,2008-09-22 14:55:36.377,2008-09,1783.0,6.0,5.0,1,Low
dynamic,2008-09-20 15:14:05.147,2009-06,14917.29,8.85,3.56,198,Low
cloning,2008-08-27 09:48:00.960,2009-07,1299.33,2.67,1.67,3,Low
policy,2008-09-21 12:43:03.973,2009-07,12202.67,18.58,5.83,12,Low
spf,2008-09-20 14:24:51.630,2008-09,1755.0,4.0,3.0,1,Low
birt,2008-09-11 14:41:46.777,2009-05,2997.56,2.2,1.68,25,Low
2-digit-year,2008-09-22 15:12:16.663,2008-09,195332.0,77.0,16.0,1,Low
intersystems-cache,2008-09-18 21:09:36.770,2008-09,956.25,2.0,2.25,4,Low
code-behind,2008-09-19 08:32:03.930,2009-07,16435.19,8.05,3.69,42,Low
datamember,2008-09-19 19:58:05.613,2008-09,101649.33,212.33,7.67,3,Low
web-parts,2008-09-18 21:14:48.893,2009-03,5248.94,1.87,2.44,78,Low
webpart-connection,2008-09-18 21:14:48.893,2008-09,554.5,3.0,1.5,2,Low
separating-axis-theorem,2008-09-22 15:15:53.397,2008-09,102040.0,148.0,20.0,1,Low
gdata-api,2008-09-16 20:02:38.943,2009-03,1649.0,1.92,1.92,12,Low
windbg,2008-09-18 14:54:23.117,2009-06,9415.91,10.98,2.92,53,Low
rpm,2008-09-19 17:49:27.733,2009-05,88192.5,85.83,3.83,6,Low
package-managers,2008-09-19 17:49:27.733,2009-03,71729.38,66.38,5.88,8,Low
thread-dump,2008-09-18 07:18:54.177,2008-09,39119.0,20.5,3.75,4,Low
php4,2008-09-16 20:03:18.740,2009-06,3542.2,1.64,2.84,25,Low
pageviews,2008-09-19 17:52:38.973,2008-09,1098.0,0.0,6.0,1,Low
scintilla,2008-09-18 13:34:54.163,2008-09,107448.0,71.75,3.5,4,Low
side-effects,2008-09-17 03:39:16.913,2009-04,2154.43,8.0,6.0,7,Low
javac,2008-09-19 17:58:16.337,2009-05,11982.05,19.84,4.68,19,Low
jbuilder,2008-09-19 17:58:16.337,2008-09,9789.0,2.0,6.0,1,Low
gdi,2008-09-05 19:31:59.983,2009-07,3427.92,3.16,2.75,63,Low
weblogic,2008-08-27 09:50:27.460,2009-06,8797.25,3.88,2.88,57,Low
hta,2008-09-15 16:48:05.567,2008-10,15246.5,4.75,3.88,8,Low
sqlplus,2008-09-10 21:16:10.613,2009-07,46174.56,25.07,4.48,27,Low
database-administration,2008-09-10 21:16:10.613,2009-05,35455.0,12.0,3.8,5,Low
http-post,2008-09-05 19:05:12.060,2009-06,26841.39,28.17,4.89,18,Low
security-roles,2008-09-10 14:39:38.147,2009-01,6279.15,4.92,2.69,13,Low
dto-mapping,2008-09-09 03:40:22.373,2008-09,3311.0,6.5,1.5,2,Low
adodb-php,2008-09-16 20:06:18.937,2008-09,7351.0,4.0,2.0,1,Low
equality,2008-09-19 18:07:02.760,2009-02,390283.6,382.65,8.45,20,Low
fluent-nhibernate,2008-09-20 14:58:51.377,2009-05,4066.93,4.84,2.09,128,Low
isolatedstorage,2008-09-20 14:59:38.147,2009-07,3035.93,3.47,1.87,15,Low
upsert,2008-09-20 15:00:47.833,2009-04,229751.57,217.86,10.71,7,Low
helpfile,2008-09-20 15:09:19.467,2008-09,13410.33,14.67,4.33,3,Low
maml,2008-09-20 15:09:19.467,2008-09,3614.5,7.0,2.0,2,Low
number-formatting,2008-09-11 22:26:58.453,2009-06,148342.85,163.23,4.69,13,Low
constants,2008-09-11 08:02:19.297,2009-04,32625.85,54.75,5.9,106,Low
zxspectrum,2008-09-16 21:46:52.733,2008-09,7507.0,15.0,8.5,2,Low
gwt-ext,2008-09-18 07:28:45.213,2009-06,3044.85,2.54,2.08,13,Low
binary-tree,2008-09-20 15:11:42.190,2009-05,26023.55,17.76,6.52,33,Low
dht,2008-09-20 15:11:42.190,2008-09,20094.0,48.2,4.4,5,Low
r,2008-09-16 21:40:29.927,2009-07,109482.21,99.54,5.84,111,Low
r-faq,2008-09-19 14:03:25.997,2009-07,284231.8,319.4,12.6,5,Low
conditional-compilation,2008-09-18 21:21:55.570,2009-06,34735.46,25.77,3.77,13,Low
environment-variables,2008-09-19 08:45:39.077,2009-07,51335.98,41.17,4.64,53,Low
remote-desktop,2008-09-16 11:37:39.050,2008-11,9850.69,6.07,4.38,29,Low
debuggervisualizer,2008-09-19 08:47:11.493,2009-04,3957.83,9.5,2.17,6,Low
jscript,2008-09-22 15:32:31.030,2008-09,7505.5,3.0,2.0,2,Low
eclipse-rcp,2008-09-18 18:18:34.810,2009-07,6307.46,10.87,2.44,52,Low
glsl,2008-09-18 18:18:36.713,2009-07,5583.3,4.7,2.0,10,Low
data-transfer,2008-09-18 18:19:48.677,2008-10,10989.94,4.88,3.65,17,Low
datamapper,2008-09-18 15:49:42.593,2009-06,3188.22,4.22,1.78,9,Low
language-interoperability,2008-09-16 01:18:15.590,2009-03,147325.62,76.5,7.38,8,Low
temp-tables,2008-09-04 14:41:09.680,2009-08,84515.66,35.59,4.38,29,Low
subclass,2008-09-18 18:32:40.750,2009-05,17889.66,19.48,3.59,29,Low
datalist,2008-09-18 21:23:15.490,2009-04,2595.0,0.95,1.64,22,Low
masm,2008-09-18 13:40:14.340,2008-09,5842.6,3.2,3.4,5,Low
dynamics-crm-4,2008-09-18 13:41:06.257,2009-07,2061.35,0.85,1.65,20,Low
sniffing,2008-09-18 18:36:52.660,2008-09,17623.25,10.38,3.75,8,Low
tfsbuild,2008-09-18 21:48:17.520,2009-05,8200.0,8.3,2.83,30,Low
fitnesse,2008-09-19 14:03:39.210,2009-05,3014.27,3.82,2.18,22,Low
flv,2008-09-19 03:49:16.700,2009-08,4476.24,2.43,2.68,37,Low
scaling,2008-09-16 20:38:25.380,2009-06,5344.87,9.35,3.42,31,Low
oracle-dump,2008-09-18 18:47:31.400,2008-09,137109.0,42.0,9.0,1,Low
append,2008-09-18 18:50:49.723,2009-05,203896.69,110.9,4.48,29,Low
oauth,2008-09-18 18:53:25.990,2009-07,9595.74,13.97,3.06,35,Low
cappuccino,2008-09-08 13:23:50.373,2008-09,1983.5,6.33,2.83,6,Low
objective-j,2008-09-22 15:44:03.017,2008-09,1361.0,1.0,2.0,1,Low
redhat,2008-09-18 21:24:28.030,2008-09,33318.73,11.68,4.59,22,Low
eclipse-pdt,2008-09-18 19:07:11.150,2008-10,21657.84,22.68,5.11,19,Low
eruby,2008-09-16 17:24:28.967,2008-09,6811.67,17.67,4.0,3,Low
latex,2008-09-18 19:08:31.897,2009-04,37312.2,25.67,4.17,190,Low
.net-3.0,2008-09-11 23:33:59.913,2009-05,12399.22,9.39,4.72,18,Low
freemarker,2008-09-18 21:27:14.373,2009-07,35659.12,23.82,3.0,17,Low
const-correctness,2008-09-22 10:25:31.487,2008-09,59877.89,80.22,9.67,9,Low
windows-7,2008-09-18 19:16:53.733,2009-08,14249.93,7.74,3.06,85,Low
msdtc,2008-09-16 20:10:49.923,2008-10,10107.94,3.69,2.5,16,Low
hp-quality-center,2008-09-17 03:43:01.193,2008-09,12024.0,4.0,4.0,1,Low
launching,2008-08-27 10:43:53.620,2008-08,177.0,0.0,3.0,1,Low
penetration-testing,2008-09-16 20:11:22.217,2008-09,6515.0,6.0,12.0,1,Low
plagiarism-detection,2008-09-09 03:41:12.280,2008-09,862.33,1.0,2.33,3,Low
unordered-map,2008-08-30 13:20:42.643,2008-08,5295.4,4.8,3.6,5,Low
twitter,2008-09-21 21:05:21.037,2009-07,7232.68,11.19,3.54,102,Low
dateadd,2008-09-19 18:29:01.053,2008-09,44423.8,14.4,5.6,5,Low
carchive,2008-09-10 21:33:48.480,2008-09,2140.0,3.0,2.0,1,Low
exe,2008-09-18 07:46:43.750,2009-04,110333.54,52.86,5.46,28,Low
squid,2008-09-18 21:33:04.077,2008-09,5942.64,5.82,3.27,11,Low
wildcard-subdomain,2008-09-08 11:24:42.563,2008-09,15405.0,14.78,2.22,9,Low
resize,2008-09-18 11:19:53.520,2009-05,28579.54,17.8,4.54,109,Low
scientific-notation,2008-09-15 16:52:06.087,2008-09,22367.0,20.75,3.75,4,Low
capacity-planning,2008-09-12 23:17:43.253,2008-09,4959.67,3.67,3.33,3,Low
urlscan,2008-09-19 18:29:50.147,2008-09,1509.5,0.5,1.5,2,Low
c++builder,2008-09-18 19:20:33.083,2009-01,5473.22,4.37,3.47,51,Low
access-modifiers,2008-09-18 19:22:27.777,2008-10,161792.65,238.45,6.25,20,Low
yum,2008-09-19 18:34:31.260,2008-09,77810.0,53.0,3.8,5,Low
groupbox,2008-09-16 20:16:02.593,2008-09,57837.5,33.5,4.75,4,Low
vim-registers,2008-09-10 14:46:35.277,2008-09,93401.0,547.0,30.0,1,Low
jvm-languages,2008-09-18 19:28:45.750,2009-03,3419.09,9.82,5.18,11,Low
policy-injection,2008-09-16 15:18:33.527,2008-09,10698.25,11.0,3.0,4,Low
evc,2008-09-16 20:18:35.223,2008-09,751.0,0.0,3.0,2,Low
mpeg,2008-09-18 16:06:00.383,2008-09,7836.36,4.64,3.09,11,Low
suse,2008-09-18 19:36:43.123,2008-10,1945.67,2.5,3.33,6,Low
sdl-image,2008-09-22 16:13:53.803,2008-09,19597.0,18.0,5.0,1,Low
window-managers,2008-09-22 16:14:41.990,2008-09,3594.8,3.4,5.0,5,Low
oledbconnection,2008-09-18 19:41:55.123,2008-09,10315.0,4.25,3.75,4,Low
typedef,2008-08-30 14:13:17.557,2009-04,84822.37,120.57,5.2,30,Low
pypubsub,2008-09-22 16:19:16.487,2008-09,35545.0,31.0,7.0,1,Low
edit-control,2008-09-18 19:56:48.940,2008-09,1919.0,1.0,3.0,1,Low
sapi,2008-09-18 13:55:56.220,2009-03,3487.25,1.62,2.0,8,Low
exif,2008-09-16 20:52:02.133,2009-07,10864.73,9.36,4.27,11,Low
sqlxml,2008-09-18 07:51:51.150,2009-03,3790.56,1.33,1.67,9,Low
regtlib,2008-09-19 18:36:22.737,2008-09,90064.0,13.0,13.0,1,Low
subtext,2008-09-18 13:58:14.840,2008-09,777.67,0.67,3.0,6,Low
web-scraping,2008-09-10 21:49:53.900,2008-09,29672.25,10.0,6.75,4,Low
hpc,2008-09-10 21:59:23.363,2008-09,5885.0,6.6,6.0,5,Low
z80,2008-09-16 21:46:52.733,2008-09,7892.0,12.0,10.0,3,Low
margins,2008-09-19 18:38:00.890,2008-09,43876.8,13.0,4.0,5,Low
application-blocks,2008-09-10 22:30:38.217,2008-09,1958.8,2.8,2.4,5,Low
ntfs,2008-09-22 16:24:20.080,2008-11,25035.86,17.38,3.83,29,Low
ignore,2008-09-10 22:45:31.193,2009-03,29674.5,49.5,4.5,8,Low
formula,2008-09-20 15:41:44.770,2009-07,7117.0,3.85,3.46,13,Low
permutation,2008-09-18 15:00:27.220,2009-06,65898.33,54.52,6.81,21,Low
jvm-bytecode,2008-08-25 22:52:02.667,2008-08,67273.0,128.0,12.0,1,Low
ws-eventing,2008-09-11 23:35:21.267,2008-09,2741.0,2.0,1.0,1,Low
privilege,2008-09-22 18:14:42.670,2008-09,8802.0,3.0,1.5,2,Low
type-slicing,2008-09-16 01:27:15.193,2008-09,362.0,3.0,5.0,1,Low
sandbox,2008-09-18 16:01:36.073,2009-02,8936.22,21.11,4.83,18,Low
advantage-database-server,2008-09-18 14:08:16.347,2008-09,1580.57,2.71,2.57,7,Low
smart-pointers,2008-09-18 16:35:17.117,2009-02,20668.83,35.0,5.39,23,Low
libxml2,2008-09-16 01:27:28.110,2009-03,3035.0,2.5,2.0,8,Low
candidate,2008-09-16 01:28:41.477,2008-09,1722.0,3.0,9.0,1,Low
fluent,2008-09-16 01:33:02.373,2009-03,2838.29,6.0,1.86,7,Low
validationrules,2008-09-18 20:08:18.727,2008-09,22049.67,10.67,5.0,3,Low
console-application,2008-09-18 21:43:30.480,2009-05,17228.68,13.95,4.05,37,Low
code-conversion,2008-09-21 13:53:30.933,2008-09,44547.2,36.4,3.0,5,Low
mysql-error-1451,2008-09-12 23:46:52.777,2008-09,6000.5,7.0,2.5,2,Low
explicit,2008-09-23 13:58:45.630,2009-02,141310.22,422.0,4.0,9,Low
explicit-constructor,2008-09-23 13:58:45.630,2008-09,1203408.0,3660.0,11.0,1,Low
annotations,2008-09-17 11:37:08.590,2009-06,26778.79,29.55,4.17,77,Low
messagebox,2008-09-18 21:47:43.107,2009-08,22670.1,5.5,3.5,20,Low
mysql-parameter,2008-09-09 04:47:33.070,2008-09,1426.0,2.0,3.0,1,Low
daemon,2008-09-15 18:17:11.530,2009-05,52582.14,55.69,5.9,29,Low
stage,2008-09-22 16:39:55.190,2009-08,2971.5,0.5,2.75,4,Low
excel-4.0,2008-09-18 08:08:36.867,2008-09,6584.0,6.0,4.0,1,Low
git-add,2008-09-22 16:41:03.660,2008-09,2535101.67,6019.33,35.67,3,Low
high-availability,2008-09-09 05:52:23.680,2009-02,2104.1,5.0,3.1,10,Low
io-redirection,2008-09-08 16:35:09.230,2008-09,381979.5,398.25,10.0,4,Low
renderer,2008-09-18 14:17:30.210,2008-09,1923.0,2.5,2.5,2,Low
structuremap,2008-09-12 00:17:01.167,2009-02,3312.68,4.47,2.09,53,Low
softune,2008-09-18 08:18:08.170,2008-09,1144.0,2.0,2.0,1,Low
nagios,2008-09-19 12:24:54.500,2008-09,7686.6,3.4,3.8,5,Low
recurring,2008-09-18 08:19:35.420,2008-09,14731.67,9.17,5.33,6,Low
extendscript,2008-09-18 16:10:55.083,2009-04,3282.33,5.67,3.33,3,Low
drools,2008-09-18 12:07:09.337,2008-09,4964.89,5.89,2.89,9,Low
crash-reports,2008-09-11 00:05:58.053,2009-05,5030.2,6.2,4.6,5,Low
contextmenu,2008-09-18 20:26:31.227,2009-05,12635.12,10.8,2.47,49,Low
instantiation,2008-09-18 20:27:14.547,2008-11,64157.85,70.59,5.41,27,Low
marklogic,2008-09-23 14:12:22.603,2008-09,28119.0,5.0,5.0,1,Low
saturation-arithmetic,2008-09-23 14:12:50.777,2008-09,45144.0,51.0,19.0,1,Low
centos5,2008-09-18 20:32:37.640,2008-09,12760.86,6.86,4.43,7,Low
inject,2008-09-19 14:16:41.097,2008-09,2021.0,5.0,1.0,1,Low
language-implementation,2008-09-15 16:58:25.980,2008-10,2634.33,9.67,4.33,6,Low
htmlbridge,2008-09-09 06:20:44.610,2008-09,875.0,1.0,1.0,1,Low
jax-rs,2008-09-17 07:28:37.547,2009-07,42755.11,45.89,5.22,9,Low
load-testing,2008-09-19 18:51:45.803,2008-11,5338.8,3.7,2.85,20,Low
passphrase,2008-09-16 22:26:08.723,2008-09,151921.8,321.6,13.4,5,Low
heredoc,2008-09-19 18:54:02.397,2009-08,14798.27,18.82,6.36,11,Low
progress-db,2008-09-18 22:04:30.257,2008-09,4198.75,1.75,2.5,4,Low
gtk#,2008-09-18 14:29:22.893,2009-06,2573.44,3.75,2.5,16,Low
vpn,2008-09-22 16:43:18.600,2009-08,5744.06,2.82,2.41,17,Low
crashrpt,2008-09-08 06:53:06.040,2008-09,2037.5,2.5,4.5,2,Low
atomic,2008-09-18 14:33:15.037,2008-09,6023.04,9.65,4.27,26,Low
virtual,2008-09-16 09:07:49.313,2009-06,13348.59,15.61,4.56,54,Low
scenarios,2008-09-16 09:07:49.313,2008-09,6366.0,2.5,5.25,4,Low
typing,2008-09-18 16:20:46.463,2009-08,13122.88,27.88,8.62,8,Low
low-level,2008-09-21 22:50:44.933,2009-03,11068.39,12.61,7.11,18,Low
6502,2008-09-21 18:50:06.320,2008-09,10172.33,17.33,5.33,3,Low
sdk,2008-09-19 09:24:18.500,2009-06,18128.58,17.15,3.73,60,Low
getdirectories,2008-09-19 09:26:38.527,2008-09,5563.5,3.0,3.5,2,Low
soap4r,2008-09-19 20:16:36.240,2008-12,1968.4,3.0,1.8,5,Low
mysql-connector,2008-09-18 14:38:14.993,2009-08,157555.5,136.25,4.75,4,Low
max-allowed-packet,2008-09-18 14:38:14.993,2008-09,620723.0,538.0,15.0,1,Low
windows-mobile-5.0,2008-09-18 20:44:49.293,2009-08,4522.2,1.0,2.0,5,Low
wmv,2008-09-17 11:46:48.393,2009-04,9237.57,3.29,3.14,7,Low
citrix,2008-09-17 11:47:04.027,2009-06,3784.8,4.9,2.6,10,Low
rule-engine,2008-09-18 14:39:34.663,2009-04,15557.89,18.79,4.95,19,Low
shuffle,2008-09-11 14:16:43.530,2008-09,32039.92,48.54,8.31,13,Low
form-data,2008-09-19 09:49:11.453,2008-09,16793.0,1.0,3.0,1,Low
temporary-files,2008-09-18 08:46:13.373,2009-03,18559.6,24.4,3.85,20,Low
xbap,2008-09-24 13:01:53.357,2009-06,4696.81,4.15,2.15,26,Low
midlet,2008-09-19 09:54:43.810,2008-09,2505.6,2.3,2.2,10,Low
openxml,2008-09-22 17:08:12.423,2009-08,9705.47,7.68,2.71,34,Low
arcobjects,2008-09-19 14:23:04.203,2009-08,2345.4,0.6,2.8,5,Low
lf,2008-09-18 22:17:47.667,2008-09,2208.0,0.5,2.5,2,Low
subquery,2008-09-22 17:15:47.210,2009-06,10262.6,5.4,3.28,43,Low
popularity,2008-09-22 17:16:45.663,2009-07,13541.5,47.17,8.0,6,Low
stack-memory,2008-09-17 04:18:06.337,2009-07,294009.71,1382.86,8.43,7,Low
68000,2008-09-17 04:19:22.917,2008-09,2144.0,4.33,4.67,3,Low
reboot,2008-09-11 14:14:59.837,2008-09,15312.33,7.0,5.33,6,Low
web-config,2008-09-11 00:48:10.743,2009-06,8995.41,8.97,3.14,160,Low
yaws,2008-08-30 15:15:01.090,2008-10,1452.5,2.5,1.5,4,Low
ppp,2008-09-09 06:32:42.430,2009-04,3465.0,2.0,2.33,6,Low
db4o,2008-09-17 04:23:32.657,2008-10,822.91,2.64,1.91,11,Low
click,2008-09-19 02:20:03.467,2009-05,66828.87,76.37,5.87,46,Low
powerbuilder,2008-09-22 17:27:36.463,2009-07,3661.82,2.29,3.06,17,Low
motif,2008-09-17 11:54:53.413,2008-09,3464.5,2.0,1.5,2,Low
client,2008-09-16 09:11:44.937,2009-05,27706.25,16.86,4.23,71,Low
gnu-screen,2008-09-16 09:12:43.920,2009-05,9925.93,12.83,3.23,30,Low
playstation,2008-08-26 00:19:00.947,2008-08,4532.4,6.4,3.6,5,Low
wow64,2008-09-19 14:41:14.377,2009-06,44036.75,43.17,3.83,12,Low
arraylist,2008-09-10 18:11:50.947,2009-08,236702.85,225.05,8.93,41,Low
spamassassin,2008-09-18 14:46:39.920,2008-09,1906.5,0.5,2.0,2,Low
priority-queue,2008-09-19 14:43:54.277,2009-03,26649.88,27.56,5.12,16,Low
string-parsing,2008-09-08 07:41:00.293,2008-09,26946.0,42.75,5.75,4,Low
amd-processor,2008-09-19 10:24:23.647,2008-09,16255.0,18.17,6.0,6,Low
http-status-code-404,2008-09-20 17:31:31.480,2009-06,17825.94,14.56,3.28,50,Low
combinators,2008-09-18 15:21:02.520,2008-09,31770.2,106.8,7.2,5,Low
cultureinfo,2008-09-16 09:13:33.310,2009-06,36102.18,47.68,4.05,22,Low
cmusphinx,2008-08-30 15:46:09.703,2008-08,4212.0,3.0,2.0,1,Low
ivr,2008-08-30 15:49:05.877,2009-05,4283.0,4.17,4.0,6,Low
puremvc,2008-09-20 18:05:26.763,2009-08,4340.89,6.56,3.33,9,Low
kmalloc,2008-09-22 17:46:20.273,2008-09,127202.0,130.0,8.0,1,Low
maven-3,2008-09-18 22:26:09.753,2008-09,181804.0,165.5,9.5,2,Low
shdocvw,2008-09-18 21:06:43.767,2008-09,11152.33,4.67,2.0,3,Low
bulk,2008-09-24 13:34:44.977,2009-01,10513.32,6.0,4.37,19,Low
gentoo,2008-09-18 17:03:07.207,2008-09,8863.4,4.4,5.0,5,Low
init.d,2008-09-26 01:31:10.800,2008-09,4555.67,4.33,2.33,3,Low
embedding,2008-09-19 10:28:05.820,2009-05,9827.24,8.76,2.59,17,Low
nss,2008-09-19 10:28:05.820,2008-09,3769.8,0.6,2.0,5,Low
width,2008-09-17 11:59:44.557,2009-07,83224.07,89.1,5.45,42,Low
maskededitextender,2008-09-24 13:49:36.847,2008-09,4932.25,0.25,1.75,4,Low
coff,2008-09-18 14:50:28.617,2008-09,7165.5,9.5,2.0,2,Low
asdf,2008-09-20 18:35:30.093,2009-01,1100.67,3.5,3.67,6,Low
asp.net-2.0,2008-09-17 06:58:23.453,2009-03,6098.36,2.5,3.01,143,Low
datetime-select,2008-09-18 14:53:00.810,2008-09,10846.0,15.0,7.0,1,Low
copy-protection,2008-09-19 14:46:28.513,2009-06,8117.36,9.14,6.86,14,Low
ipod,2008-09-18 14:55:04.283,2009-05,4062.0,3.1,2.9,10,Low
scriptmanager,2008-09-18 17:22:13.463,2009-02,13369.92,4.38,3.15,13,Low
system-monitoring,2008-09-24 13:57:52.800,2008-09,13412.0,9.0,3.5,2,Low
classloader,2008-09-13 18:48:19.570,2009-07,39434.15,33.74,4.11,46,Low
sprint,2008-09-24 14:00:25.743,2009-08,69894.33,25.0,6.0,3,Low
cots,2008-09-04 15:07:30.550,2008-09,135.0,-1.0,1.0,1,Low
interrupt,2008-09-24 04:17:40.527,2009-05,8300.17,7.11,3.56,18,Low
apache-cocoon,2008-09-18 22:34:00.513,2008-09,804.17,1.5,2.17,6,Low
ibm-mq,2008-09-18 14:56:38.383,2009-05,9426.95,4.63,2.26,19,Low
monthcalendar,2008-09-19 10:32:26.230,2008-09,2187.67,1.67,1.67,3,Low
webservicetemplate,2008-09-19 10:32:29.740,2008-09,11110.5,2.5,2.5,2,Low
jax-ws,2008-09-19 10:32:55.670,2009-05,21143.14,10.62,3.03,29,Low
interactive,2008-09-16 15:35:59.320,2008-11,24191.25,48.0,5.75,8,Low
multicore,2008-09-17 04:29:37.197,2009-05,14257.92,20.16,5.75,51,Low
sendmail,2008-09-04 15:10:13.960,2009-07,13724.16,9.16,3.74,19,Low
