Skill,Date of Birth,Peak Activity Date,Avg Views,Avg Score,Avg Answers,Total Posts,Immunity Score,Tag Rank (Top 100),Tag Usage %
parsing,2008-08-05 23:49:53.560,2013-03,6142.75,3.85,2.09,7026,Low,100.0,0.0935
java,2008-08-01 16:08:52.353,2014-03,6699.07,4.11,2.08,432605,Low,1.0,5.2567
javascript,2008-08-03 21:42:37.903,2014-03,6862.38,4.8,1.96,409583,Low,2.0,4.977
c#,2008-07-31 21:42:52.667,2014-03,5901.78,4.34,2.08,408050,Low,3.0,4.9583
php,2008-08-01 12:50:18.587,2014-03,3872.7,1.94,1.95,357763,Low,4.0,4.3473
android,2008-08-26 15:30:38.367,2014-03,4274.45,3.21,1.65,261815,Low,5.0,3.1814
python,2008-08-02 03:35:55.697,2014-03,12768.07,9.23,2.1,213695,Low,6.0,2.5967
c++,2008-08-01 12:13:50.207,2014-03,5536.57,4.98,2.21,183635,Low,7.0,2.2314
jquery,2008-08-12 11:11:29.680,2013-03,4417.83,2.03,1.84,154458,Low,8.0,1.8769
html,2008-07-31 22:08:08.620,2014-03,7350.78,3.82,2.11,142486,Low,9.0,1.7314
ios,2008-08-02 10:47:08.460,2014-03,3055.16,3.25,1.7,135060,Low,10.0,1.6412
sql,2008-08-01 12:35:56.917,2014-03,9134.38,4.28,2.19,106018,Low,11.0,1.2883
ruby-on-rails,2008-08-02 12:56:58.590,2014-03,2524.97,2.88,1.64,91962,Low,12.0,1.1175
mysql,2008-08-01 05:09:55.993,2014-03,5756.53,3.18,1.89,87695,Low,13.0,1.0656
css,2008-08-03 21:42:37.903,2014-03,7339.52,4.21,2.05,80571,Low,14.0,0.979
c,2008-08-01 23:27:24.993,2014-03,6110.68,3.9,2.36,75997,Low,15.0,0.9235
asp.net,2008-08-01 19:23:13.117,2013-04,4155.09,2.45,1.9,68835,Low,16.0,0.8364
iphone,2008-08-04 19:02:36.777,2012-07,3221.97,2.8,1.99,65346,Low,17.0,0.794
objective-c,2008-08-12 15:31:40.200,2012-08,2573.5,2.87,1.78,55287,Low,18.0,0.6718
r,2008-09-16 21:40:29.927,2014-03,7319.19,5.22,1.67,44123,Low,19.0,0.5362
.net,2008-08-01 00:59:11.177,2010-03,5113.3,5.23,2.24,44065,Low,20.0,0.5354
ruby,2008-08-01 13:38:27.133,2013-03,3642.19,4.66,1.94,36606,Low,21.0,0.4448
asp.net-mvc,2008-08-06 21:43:33.923,2014-03,5013.04,3.74,1.81,34042,Low,22.0,0.4137
sql-server,2008-08-01 18:33:08.333,2014-04,9900.87,4.91,2.16,32082,Low,23.0,0.3898
linux,2008-08-01 14:36:18.640,2014-03,11821.99,7.99,2.1,31554,Low,24.0,0.3834
ajax,2008-08-04 17:53:32.500,2014-03,4070.83,2.21,1.7,29925,Low,25.0,0.3636
vb.net,2008-08-01 12:43:11.503,2014-03,4313.26,1.59,1.68,28209,Low,26.0,0.3428
xml,2008-08-01 15:50:08.537,2014-03,4106.12,2.53,1.66,26026,Low,27.0,0.3163
json,2008-08-14 23:13:32.493,2014-03,6938.58,4.68,1.74,25939,Low,28.0,0.3152
regex,2008-08-04 13:47:10.547,2014-03,6580.43,4.59,2.3,25450,Low,29.0,0.3093
django,2008-08-21 19:41:57.870,2013-03,4013.42,4.19,1.62,24999,Low,30.0,0.3038
node.js,2009-08-23 00:55:49.140,2014-03,8705.34,7.74,1.68,24288,Low,31.0,0.2951
wpf,2008-08-11 01:34:34.773,2013-01,4941.45,4.0,1.68,24272,Low,32.0,0.2949
angularjs,2009-10-19 11:41:47.043,2014-06,8730.94,6.98,1.69,23863,Low,33.0,0.29
database,2008-08-01 14:19:52.510,2014-03,5946.63,4.45,2.12,23854,Low,34.0,0.2899
git,2008-08-05 18:29:14.283,2014-03,23770.57,32.91,2.29,23795,Low,35.0,0.2891
excel,2008-08-05 16:47:28.873,2014-03,9894.9,1.99,1.69,22749,Low,36.0,0.2764
windows,2008-08-01 15:22:29.467,2014-03,12570.13,7.18,2.12,22553,Low,37.0,0.274
matlab,2008-08-07 18:47:58.487,2014-03,3024.03,1.64,1.52,19796,Low,38.0,0.2405
eclipse,2008-08-01 13:56:33.837,2014-03,5550.77,4.08,1.78,18988,Low,39.0,0.2307
wordpress,2008-08-17 16:35:15.920,2014-03,2568.17,1.04,1.48,18651,Low,40.0,0.2266
arrays,2008-08-01 12:30:57.630,2014-03,6461.72,3.85,2.08,18540,Low,41.0,0.2253
xcode,2008-08-08 04:25:11.630,2012-11,3694.92,3.88,1.75,17171,Low,42.0,0.2087
bash,2008-08-11 10:40:41.363,2014-03,14417.68,12.76,2.52,16948,Low,43.0,0.2059
perl,2008-08-06 02:53:13.033,2013-05,3218.99,2.94,2.26,16302,Low,44.0,0.1981
vba,2008-08-22 13:24:24.697,2014-03,8375.82,1.74,1.63,16217,Low,45.0,0.1971
algorithm,2008-08-01 18:42:19.343,2013-10,6439.85,8.27,2.83,15480,Low,46.0,0.1881
facebook,2008-08-21 21:38:43.190,2012-07,2213.12,1.51,1.2,14711,Low,47.0,0.1788
forms,2008-08-02 19:51:50.250,2014-03,5595.0,2.9,1.87,14690,Low,48.0,0.1785
string,2008-08-02 06:57:57.957,2014-03,12410.57,8.41,2.68,14564,Low,49.0,0.177
scala,2008-09-10 13:15:29.083,2014-06,3076.55,5.8,1.75,14484,Low,50.0,0.176
macos,2008-08-04 18:51:38.543,2013-10,6773.93,6.38,1.86,14363,Low,51.0,0.1745
spring,2008-09-11 18:43:19.940,2014-05,6454.19,3.37,1.56,14306,Low,52.0,0.1738
apache,2008-08-05 21:45:11.033,2014-01,5588.37,2.74,1.52,13580,Low,53.0,0.165
actionscript-3,2008-08-05 16:09:12.570,2013-04,1247.71,0.68,1.46,13350,Low,54.0,0.1622
twitter-bootstrap,2010-01-28 18:22:43.573,2014-03,11072.42,4.95,1.87,13295,Low,55.0,0.1616
oracle,2008-08-02 01:52:54.653,2014-03,9415.17,2.76,1.85,13098,Low,56.0,0.1592
image,2008-08-02 17:01:58.500,2014-04,6255.98,3.19,1.78,12987,Low,57.0,0.1578
entity-framework,2008-08-14 00:24:43.320,2014-01,4286.32,3.71,1.61,12928,Low,58.0,0.1571
delphi,2008-08-12 12:10:14.663,2013-05,3500.94,3.11,1.97,12536,Low,59.0,0.1523
mongodb,2008-09-08 20:16:16.717,2014-03,5362.7,4.37,1.55,12386,Low,60.0,0.1505
ruby-on-rails-3,2008-10-13 18:07:24.043,2012-08,1810.19,1.87,1.44,12204,Low,61.0,0.1483
asp.net-mvc-4,2012-06-07 08:11:33.553,2013-08,4250.11,2.56,1.54,12090,Low,62.0,0.1469
performance,2008-08-01 05:21:22.257,2013-07,5820.71,9.87,2.42,11760,Low,63.0,0.1429
visual-studio,2008-08-03 14:53:53.550,2014-01,7527.9,8.97,2.41,11442,Low,64.0,0.139
sql-server-2008,2008-08-12 21:47:45.277,2013-03,8857.4,3.33,1.95,11420,Low,65.0,0.1388
.htaccess,2008-08-12 03:58:21.910,2014-03,2462.45,1.41,1.39,11291,Low,66.0,0.1372
linq,2008-08-01 13:20:46.890,2013-03,5402.72,4.48,2.05,10587,Low,67.0,0.1286
hibernate,2008-08-25 17:25:22.610,2014-05,5444.36,2.73,1.51,10498,Low,68.0,0.1276
wcf,2008-08-07 02:50:13.320,2012-10,3728.36,2.8,1.53,10396,Low,69.0,0.1263
multithreading,2008-08-04 07:30:01.727,2014-03,4627.52,5.28,2.05,10299,Low,70.0,0.1251
web-services,2008-08-01 04:59:33.643,2014-04,4350.18,2.77,1.62,10115,Low,71.0,0.1229
postgresql,2008-08-03 17:44:07.450,2014-03,10635.36,7.71,1.84,9927,Low,72.0,0.1206
shell,2008-08-04 21:04:06.407,2014-03,11418.72,8.31,2.27,9854,Low,73.0,0.1197
winforms,2008-08-05 20:05:22.077,2013-10,6168.94,3.61,2.06,9711,Low,74.0,0.118
visual-studio-2010,2008-08-26 14:22:42.713,2012-07,3589.77,2.39,1.53,9670,Low,75.0,0.1175
magento,2008-12-17 00:17:38.590,2013-01,2984.03,1.17,1.47,9637,Low,76.0,0.1171
qt,2008-08-20 21:16:24.030,2013-08,3903.69,2.83,1.48,9553,Low,77.0,0.1161
sqlite,2008-08-01 22:34:42.853,2014-04,4221.37,3.64,1.63,9385,Low,78.0,0.114
symfony,2010-02-23 20:53:34.540,2013-07,3807.97,2.71,1.48,9202,Low,79.0,0.1118
t-sql,2008-08-05 18:15:47.727,2013-08,16589.85,8.53,2.52,9000,Low,80.0,0.1094
cordova,2009-07-03 23:52:38.623,2014-03,2582.78,1.99,1.4,8944,Low,81.0,0.1087
haskell,2008-08-05 14:16:02.720,2014-05,1833.77,6.9,1.92,8913,Low,82.0,0.1083
powershell,2008-08-05 18:01:32.547,2014-06,12910.1,5.87,1.93,8852,Low,83.0,0.1076
maven,2008-09-16 10:34:05.223,2014-03,7585.11,4.59,1.64,8831,Low,84.0,0.1073
validation,2008-08-04 16:44:25.167,2014-01,5598.68,3.27,1.89,8595,Low,85.0,0.1044
uitableview,2008-09-24 15:54:26.390,2014-03,2741.36,2.54,1.94,8533,Low,86.0,0.1037
jsf,2008-08-13 00:49:17.360,2013-09,4079.47,1.96,1.25,8362,Low,87.0,0.1016
xaml,2008-08-28 14:24:15.157,2014-04,3816.35,3.05,1.57,8360,Low,88.0,0.1016
jsp,2008-08-15 23:07:03.400,2014-04,4982.61,1.56,1.58,8232,Low,89.0,0.1
codeigniter,2008-08-16 19:27:20.473,2013-03,3666.61,1.14,1.73,8230,Low,90.0,0.1
rest,2008-08-04 17:53:32.500,2014-03,7008.12,6.27,1.65,8134,Low,91.0,0.0988
svn,2008-08-01 14:41:24.277,2009-10,7653.58,7.91,2.58,7917,Low,92.0,0.0962
google-chrome,2008-09-02 15:12:55.033,2014-01,7675.51,5.79,1.69,7857,Low,93.0,0.0955
authentication,2008-08-03 11:21:54.520,2013-03,4262.22,3.33,1.63,7848,Low,94.0,0.0954
asp.net-mvc-3,2009-02-27 12:45:45.087,2012-07,2945.72,1.57,1.49,7841,Low,95.0,0.0953
list,2008-08-23 19:17:34.353,2014-03,11092.84,7.57,2.41,7838,Low,96.0,0.0952
google-app-engine,2008-08-30 13:20:02.740,2012-07,1550.65,2.28,1.49,7631,Low,97.0,0.0927
google-maps,2008-08-05 20:24:42.960,2014-03,3788.29,2.03,1.42,7611,Low,98.0,0.0925
parsing,2008-08-05 23:49:53.560,2014-04,5864.69,3.64,2.05,7595,Low,99.0,0.0923
batch-file,2008-08-19 00:21:12.237,2014-03,10730.45,4.19,1.94,7568,Low,100.0,0.092
java,2008-08-01 16:08:52.353,2014-03,6408.71,3.91,2.04,471734,Low,1.0,5.2765
javascript,2008-08-03 21:42:37.903,2014-03,6464.51,4.48,1.92,453206,Low,2.0,5.0693
c#,2008-07-31 21:42:52.667,2014-03,5658.16,4.14,2.04,438241,Low,3.0,4.9019
php,2008-08-01 12:50:18.587,2014-03,3723.24,1.84,1.92,386683,Low,4.0,4.3252
android,2008-08-26 15:30:38.367,2014-03,4118.86,3.09,1.62,285684,Low,5.0,3.1955
python,2008-08-02 03:35:55.697,2014-03,12128.73,8.71,2.06,235237,Low,6.0,2.6312
c++,2008-08-01 12:13:50.207,2014-03,5314.75,4.79,2.17,197537,Low,7.0,2.2095
jquery,2008-08-12 11:11:29.680,2013-03,4268.47,1.94,1.82,165009,Low,8.0,1.8457
html,2008-07-31 22:08:08.620,2014-03,6937.36,3.57,2.08,157733,Low,9.0,1.7643
ios,2008-08-02 10:47:08.460,2014-03,3072.74,3.29,1.69,151811,Low,10.0,1.6981
sql,2008-08-01 12:35:56.917,2014-03,8552.25,3.98,2.15,116353,Low,11.0,1.3014
ruby-on-rails,2008-08-02 12:56:58.590,2014-03,2446.27,2.79,1.62,99229,Low,12.0,1.1099
mysql,2008-08-01 05:09:55.993,2014-03,5472.42,3.01,1.86,94917,Low,13.0,1.0617
css,2008-08-03 21:42:37.903,2014-03,6990.53,4.01,2.01,87704,Low,14.0,0.981
c,2008-08-01 23:27:24.993,2014-03,5840.12,3.71,2.33,81778,Low,15.0,0.9147
asp.net,2008-08-01 19:23:13.117,2013-04,4062.56,2.39,1.87,72036,Low,16.0,0.8057
iphone,2008-08-04 19:02:36.777,2012-07,3227.49,2.8,1.98,66275,Low,17.0,0.7413
objective-c,2008-08-12 15:31:40.200,2012-08,2512.63,2.81,1.76,57815,Low,18.0,0.6467
r,2008-09-16 21:40:29.927,2014-03,6982.71,4.99,1.65,49646,Low,19.0,0.5553
.net,2008-08-01 00:59:11.177,2010-03,4998.9,5.1,2.2,45690,Low,20.0,0.5111
ruby,2008-08-01 13:38:27.133,2013-03,3476.89,4.42,1.91,39497,Low,21.0,0.4418
asp.net-mvc,2008-08-06 21:43:33.923,2014-03,4823.0,3.57,1.77,36584,Low,22.0,0.4092
sql-server,2008-08-01 18:33:08.333,2014-04,9427.6,4.66,2.12,34392,Low,23.0,0.3847
linux,2008-08-01 14:36:18.640,2014-03,11209.18,7.55,2.05,34341,Low,24.0,0.3841
ajax,2008-08-04 17:53:32.500,2014-03,3890.98,2.09,1.67,32589,Low,25.0,0.3645
vb.net,2008-08-01 12:43:11.503,2014-03,4148.72,1.5,1.65,30321,Low,26.0,0.3391
angularjs,2009-10-19 11:41:47.043,2014-07,7554.14,5.94,1.63,29805,Low,27.0,0.3334
json,2008-08-14 23:13:32.493,2014-03,6560.4,4.37,1.71,28880,Low,28.0,0.323
xml,2008-08-01 15:50:08.537,2014-03,3917.06,2.4,1.63,28101,Low,29.0,0.3143
regex,2008-08-04 13:47:10.547,2014-03,6177.64,4.3,2.27,27855,Low,30.0,0.3116
node.js,2009-08-23 00:55:49.140,2014-03,8179.13,7.21,1.64,27627,Low,31.0,0.309
django,2008-08-21 19:41:57.870,2013-03,3938.69,4.07,1.6,26826,Low,32.0,0.3001
git,2008-08-05 18:29:14.283,2014-03,22374.78,30.65,2.23,26095,Low,33.0,0.2919
wpf,2008-08-11 01:34:34.773,2013-01,4792.7,3.87,1.66,25468,Low,34.0,0.2849
database,2008-08-01 14:19:52.510,2014-03,5772.45,4.31,2.08,25430,Low,35.0,0.2844
excel,2008-08-05 16:47:28.873,2014-03,9383.49,1.87,1.67,25207,Low,36.0,0.2819
windows,2008-08-01 15:22:29.467,2014-03,11962.85,6.84,2.06,24269,Low,37.0,0.2715
matlab,2008-08-07 18:47:58.487,2014-03,2898.36,1.57,1.51,21707,Low,38.0,0.2428
wordpress,2008-08-17 16:35:15.920,2014-03,2498.87,0.99,1.46,20709,Low,39.0,0.2316
eclipse,2008-08-01 13:56:33.837,2014-03,5258.83,3.84,1.74,20640,Low,40.0,0.2309
arrays,2008-08-01 12:30:57.630,2014-03,6152.14,3.7,2.05,20442,Low,41.0,0.2287
xcode,2008-08-08 04:25:11.630,2012-11,3675.19,3.92,1.73,18758,Low,42.0,0.2098
bash,2008-08-11 10:40:41.363,2014-03,13352.09,11.77,2.47,18695,Low,43.0,0.2091
vba,2008-08-22 13:24:24.697,2014-07,7926.17,1.62,1.6,18196,Low,44.0,0.2035
perl,2008-08-06 02:53:13.033,2013-05,3077.07,2.82,2.23,17414,Low,45.0,0.1948
algorithm,2008-08-01 18:42:19.343,2013-10,6163.08,7.87,2.76,16524,Low,46.0,0.1848
scala,2008-09-10 13:15:29.083,2014-06,2985.41,5.57,1.73,16114,Low,47.0,0.1802
forms,2008-08-02 19:51:50.250,2014-03,5291.76,2.71,1.84,15935,Low,48.0,0.1782
spring,2008-09-11 18:43:19.940,2014-07,6354.59,3.33,1.54,15871,Low,49.0,0.1775
string,2008-08-02 06:57:57.957,2014-03,11760.63,7.99,2.64,15801,Low,50.0,0.1767
facebook,2008-08-21 21:38:43.190,2012-07,2143.91,1.47,1.18,15726,Low,51.0,0.1759
macos,2008-08-04 18:51:38.543,2013-10,6579.17,6.22,1.83,15597,Low,52.0,0.1745
twitter-bootstrap,2010-01-28 18:22:43.573,2014-03,10359.38,4.57,1.84,15208,Low,53.0,0.1701
apache,2008-08-05 21:45:11.033,2014-01,5286.19,2.62,1.49,14850,Low,54.0,0.1661
oracle,2008-08-02 01:52:54.653,2014-03,9016.07,2.63,1.81,14162,Low,55.0,0.1584
entity-framework,2008-08-14 00:24:43.320,2014-01,4114.3,3.56,1.58,13995,Low,56.0,0.1565
image,2008-08-02 17:01:58.500,2014-04,6077.74,3.07,1.75,13984,Low,57.0,0.1564
actionscript-3,2008-08-05 16:09:12.570,2013-04,1214.94,0.66,1.44,13925,Low,58.0,0.1558
mongodb,2008-09-08 20:16:16.717,2014-03,5223.04,4.18,1.52,13910,Low,59.0,0.1556
delphi,2008-08-12 12:10:14.663,2013-03,3419.42,3.03,1.93,13296,Low,60.0,0.1487
asp.net-mvc-4,2012-06-07 08:11:33.553,2013-08,4139.61,2.46,1.52,12928,Low,61.0,0.1446
performance,2008-08-01 05:21:22.257,2013-07,5583.71,9.42,2.36,12560,Low,62.0,0.1405
ruby-on-rails-3,2008-10-13 18:07:24.043,2012-08,1792.12,1.85,1.44,12552,Low,63.0,0.1404
.htaccess,2008-08-12 03:58:21.910,2014-03,2336.94,1.36,1.37,12306,Low,64.0,0.1376
visual-studio,2008-08-03 14:53:53.550,2014-01,7281.32,8.66,2.35,12120,Low,65.0,0.1356
sql-server-2008,2008-08-12 21:47:45.277,2013-03,8468.81,3.18,1.94,12109,Low,66.0,0.1354
hibernate,2008-08-25 17:25:22.610,2014-05,5351.37,2.68,1.5,11526,Low,67.0,0.1289
linq,2008-08-01 13:20:46.890,2013-03,5167.04,4.28,2.02,11202,Low,68.0,0.1253
multithreading,2008-08-04 07:30:01.727,2014-03,4405.86,5.02,2.0,11156,Low,69.0,0.1248
postgresql,2008-08-03 17:44:07.450,2014-03,10168.59,7.31,1.8,10925,Low,70.0,0.1222
wcf,2008-08-07 02:50:13.320,2012-10,3615.94,2.71,1.5,10884,Low,71.0,0.1217
web-services,2008-08-01 04:59:33.643,2014-04,4260.19,2.66,1.59,10773,Low,72.0,0.1205
shell,2008-08-04 21:04:06.407,2014-03,10717.17,7.77,2.23,10764,Low,73.0,0.1204
magento,2008-12-17 00:17:38.590,2013-01,2890.85,1.12,1.46,10373,Low,74.0,0.116
winforms,2008-08-05 20:05:22.077,2013-10,5903.81,3.44,2.02,10318,Low,75.0,0.1154
qt,2008-08-20 21:16:24.030,2013-08,3811.96,2.76,1.46,10310,Low,76.0,0.1153
symfony,2010-02-23 20:53:34.540,2013-07,3646.31,2.59,1.46,10152,Low,77.0,0.1136
sqlite,2008-08-01 22:34:42.853,2014-04,4074.13,3.44,1.61,10149,Low,78.0,0.1135
visual-studio-2010,2008-08-26 14:22:42.713,2012-07,3529.04,2.34,1.52,10057,Low,79.0,0.1125
cordova,2009-07-03 23:52:38.623,2014-03,2485.16,1.92,1.38,9951,Low,80.0,0.1113
powershell,2008-08-05 18:01:32.547,2014-07,12187.42,5.5,1.9,9934,Low,81.0,0.1111
haskell,2008-08-05 14:16:02.720,2014-05,1740.94,6.67,1.89,9817,Low,82.0,0.1098
maven,2008-09-16 10:34:05.223,2014-03,7318.47,4.42,1.62,9767,Low,83.0,0.1092
t-sql,2008-08-05 18:15:47.727,2013-08,15613.44,7.99,2.47,9714,Low,84.0,0.1087
uitableview,2008-09-24 15:54:26.390,2014-03,2668.39,2.47,1.91,9427,Low,85.0,0.1054
validation,2008-08-04 16:44:25.167,2014-01,5407.46,3.17,1.87,9288,Low,86.0,0.1039
xaml,2008-08-28 14:24:15.157,2014-04,3626.62,2.87,1.54,9212,Low,87.0,0.103
rest,2008-08-04 17:53:32.500,2014-07,6716.31,5.93,1.63,9058,Low,88.0,0.1013
jsf,2008-08-13 00:49:17.360,2013-09,3967.81,1.92,1.23,9039,Low,89.0,0.1011
jsp,2008-08-15 23:07:03.400,2014-04,4755.09,1.48,1.55,8930,Low,90.0,0.0999
codeigniter,2008-08-16 19:27:20.473,2013-03,3529.87,1.08,1.72,8816,Low,91.0,0.0986
google-chrome,2008-09-02 15:12:55.033,2014-01,7339.83,5.56,1.66,8687,Low,92.0,0.0972
authentication,2008-08-03 11:21:54.520,2013-03,4168.19,3.26,1.61,8457,Low,93.0,0.0946
list,2008-08-23 19:17:34.353,2014-03,10496.51,7.13,2.36,8451,Low,94.0,0.0945
python-2.7,2012-06-07 15:34:19.000,2014-03,5714.51,2.88,1.63,8345,Low,95.0,0.0933
batch-file,2008-08-19 00:21:12.237,2014-03,10192.3,3.92,1.91,8313,Low,96.0,0.093
google-app-engine,2008-08-30 13:20:02.740,2012-07,1512.36,2.2,1.48,8258,Low,97.0,0.0924
svn,2008-08-01 14:41:24.277,2009-10,7425.24,7.67,2.53,8230,Low,98.0,0.0921
google-maps,2008-08-05 20:24:42.960,2014-03,3654.95,1.95,1.4,8158,Low,99.0,0.0912
parsing,2008-08-05 23:49:53.560,2014-04,5620.15,3.47,2.02,8137,Low,100.0,0.091
java,2008-08-01 16:08:52.353,2014-03,6118.41,3.71,2.01,514245,Low,1.0,5.3248
javascript,2008-08-03 21:42:37.903,2014-03,6102.04,4.2,1.89,496579,Low,2.0,5.1419
c#,2008-07-31 21:42:52.667,2014-03,5449.41,3.97,2.0,466472,Low,3.0,4.8301
php,2008-08-01 12:50:18.587,2014-03,3597.84,1.77,1.89,414997,Low,4.0,4.2971
android,2008-08-26 15:30:38.367,2014-03,4066.47,3.08,1.61,308603,Low,5.0,3.1955
python,2008-08-02 03:35:55.697,2014-03,11560.35,8.23,2.02,257512,Low,6.0,2.6664
c++,2008-08-01 12:13:50.207,2014-03,5089.49,4.57,2.13,212797,Low,7.0,2.2034
jquery,2008-08-12 11:11:29.680,2013-03,4120.7,1.87,1.8,174767,Low,8.0,1.8096
html,2008-07-31 22:08:08.620,2014-03,6557.87,3.36,2.05,172092,Low,9.0,1.7819
ios,2008-08-02 10:47:08.460,2014-03,3044.84,3.26,1.67,169098,Low,10.0,1.7509
sql,2008-08-01 12:35:56.917,2014-03,8172.52,3.79,2.12,124457,Low,11.0,1.2887
ruby-on-rails,2008-08-02 12:56:58.590,2014-03,2368.84,2.69,1.6,105785,Low,12.0,1.0954
mysql,2008-08-01 05:09:55.993,2014-03,5191.76,2.84,1.84,102597,Low,13.0,1.0623
css,2008-08-03 21:42:37.903,2014-03,6709.41,3.83,1.99,94441,Low,14.0,0.9779
c,2008-08-01 23:27:24.993,2014-03,5529.45,3.47,2.28,89532,Low,15.0,0.9271
asp.net,2008-08-01 19:23:13.117,2013-04,3971.41,2.33,1.85,74991,Low,16.0,0.7765
iphone,2008-08-04 19:02:36.777,2012-07,3196.61,2.78,1.97,67675,Low,17.0,0.7007
objective-c,2008-08-12 15:31:40.200,2012-08,2468.38,2.78,1.74,60036,Low,18.0,0.6216
r,2008-09-16 21:40:29.927,2014-03,6625.5,4.73,1.62,55717,Low,19.0,0.5769
.net,2008-08-01 00:59:11.177,2010-03,4911.0,5.0,2.17,47324,Low,20.0,0.49
ruby,2008-08-01 13:38:27.133,2013-03,3352.46,4.24,1.89,42350,Low,21.0,0.4385
asp.net-mvc,2008-08-06 21:43:33.923,2014-03,4696.44,3.45,1.75,38999,Low,22.0,0.4038
sql-server,2008-08-01 18:33:08.333,2014-11,8921.92,4.39,2.07,37252,Low,23.0,0.3857
linux,2008-08-01 14:36:18.640,2014-03,10623.2,7.14,2.01,37236,Low,24.0,0.3856
angularjs,2009-10-19 11:41:47.043,2014-10,6761.94,5.24,1.59,35811,Low,25.0,0.3708
ajax,2008-08-04 17:53:32.500,2014-03,3729.78,1.98,1.65,35120,Low,26.0,0.3637
vb.net,2008-08-01 12:43:11.503,2014-03,3977.34,1.42,1.62,32450,Low,27.0,0.336
json,2008-08-14 23:13:32.493,2014-03,6257.38,4.14,1.69,31634,Low,28.0,0.3276
node.js,2009-08-23 00:55:49.140,2014-03,7728.5,6.77,1.61,30996,Low,29.0,0.321
regex,2008-08-04 13:47:10.547,2014-03,5797.7,4.03,2.24,30426,Low,30.0,0.315
xml,2008-08-01 15:50:08.537,2014-03,3752.67,2.29,1.61,30183,Low,31.0,0.3125
django,2008-08-21 19:41:57.870,2013-03,3865.01,3.98,1.58,28612,Low,32.0,0.2963
git,2008-08-05 18:29:14.283,2014-03,21104.66,28.76,2.18,28172,Low,33.0,0.2917
excel,2008-08-05 16:47:28.873,2014-03,8883.65,1.75,1.64,27746,Low,34.0,0.2873
database,2008-08-01 14:19:52.510,2014-03,5587.47,4.14,2.04,27032,Low,35.0,0.2799
wpf,2008-08-11 01:34:34.773,2013-01,4666.45,3.76,1.64,26455,Low,36.0,0.2739
windows,2008-08-01 15:22:29.467,2014-03,11510.82,6.54,2.02,25954,Low,37.0,0.2687
matlab,2008-08-07 18:47:58.487,2014-03,2728.59,1.49,1.48,24095,Low,38.0,0.2495
arrays,2008-08-01 12:30:57.630,2014-03,5818.0,3.5,2.02,22596,Low,39.0,0.234
wordpress,2008-08-17 16:35:15.920,2014-03,2432.63,0.96,1.44,22473,Low,40.0,0.2327
eclipse,2008-08-01 13:56:33.837,2014-03,5033.88,3.66,1.72,22153,Low,41.0,0.2294
xcode,2008-08-08 04:25:11.630,2012-11,3642.59,3.87,1.71,20724,Low,42.0,0.2146
bash,2008-08-11 10:40:41.363,2014-03,12539.16,10.99,2.42,20465,Low,43.0,0.2119
vba,2008-08-22 13:24:24.697,2014-07,7505.3,1.54,1.59,20107,Low,44.0,0.2082
perl,2008-08-06 02:53:13.033,2013-05,2966.44,2.73,2.2,18366,Low,45.0,0.1902
scala,2008-09-10 13:15:29.083,2014-06,2907.95,5.37,1.7,17750,Low,46.0,0.1838
algorithm,2008-08-01 18:42:19.343,2013-10,5865.65,7.44,2.69,17737,Low,47.0,0.1837
spring,2008-09-11 18:43:19.940,2014-07,6273.61,3.27,1.53,17399,Low,48.0,0.1802
forms,2008-08-02 19:51:50.250,2014-03,5074.85,2.59,1.82,17148,Low,49.0,0.1776
string,2008-08-02 06:57:57.957,2014-03,11080.37,7.55,2.6,17131,Low,50.0,0.1774
twitter-bootstrap,2010-01-28 18:22:43.573,2014-03,9621.73,4.23,1.8,17052,Low,51.0,0.1766
macos,2008-08-04 18:51:38.543,2013-10,6327.47,5.98,1.79,16899,Low,52.0,0.175
facebook,2008-08-21 21:38:43.190,2012-07,2088.83,1.44,1.18,16645,Low,53.0,0.1724
apache,2008-08-05 21:45:11.033,2014-01,5086.88,2.52,1.46,16075,Low,54.0,0.1664
oracle,2008-08-02 01:52:54.653,2014-11,8652.72,2.5,1.78,15407,Low,55.0,0.1595
mongodb,2008-09-08 20:16:16.717,2014-03,5025.19,4.02,1.49,15394,Low,56.0,0.1594
entity-framework,2008-08-14 00:24:43.320,2014-01,4012.76,3.47,1.57,14980,Low,57.0,0.1551
image,2008-08-02 17:01:58.500,2014-04,5852.91,2.95,1.72,14942,Low,58.0,0.1547
actionscript-3,2008-08-05 16:09:12.570,2014-03,1180.53,0.64,1.43,14486,Low,59.0,0.15
delphi,2008-08-12 12:10:14.663,2013-05,3344.15,2.95,1.89,14034,Low,60.0,0.1453
asp.net-mvc-4,2012-06-07 08:11:33.553,2013-08,4039.5,2.38,1.51,13692,Low,61.0,0.1418
performance,2008-08-01 05:21:22.257,2013-07,5373.06,9.02,2.31,13330,Low,62.0,0.138
.htaccess,2008-08-12 03:58:21.910,2014-03,2229.62,1.31,1.35,13290,Low,63.0,0.1376
visual-studio,2008-08-03 14:53:53.550,2014-01,7039.24,8.34,2.3,12868,Low,64.0,0.1332
ruby-on-rails-3,2008-10-13 18:07:24.043,2012-08,1776.15,1.83,1.43,12834,Low,65.0,0.1329
sql-server-2008,2008-08-12 21:47:45.277,2013-03,8201.75,3.06,1.92,12759,Low,66.0,0.1321
